Neighborhood,Latitude,Longitude
1 Auckland central,-36.84839904099994,174.76438785300002
2 North Shore,-36.799999999999955,174.7500000000001
"3 South Auckland and eastern suburbs

3.1 Papakura

",-37.06139361002206,174.94134558093367
3.1 Papakura,-37.06139361002206,174.94134558093367
4 Pukekohe,-37.23846125699998,174.92869197000005
5 West Auckland,-36.92051491284768,174.90680114705376
6 Rodney,-36.94583060077663,174.85088917186988
7 See also,-36.97485120157721,174.81905111357278
Arch Hill,-36.86301999999995,174.74858000000006
Auckland CBD,-36.84839904099994,174.76438785300002
Avondale,-36.89044821899995,174.6870174820001
Balmoral,-36.88819999999998,174.7401900000001
Blackpool,-37.05156381518735,174.8843945401761
Blockhouse Bay,-36.92819999999995,174.70019000000002
Eden Terrace,-36.86413508299995,174.75743271800002
Eden Valley,-36.96750084635119,174.83853712187494
Ellerslie,-36.896377420999954,174.81373710200012
Epsom,-36.88845407399998,174.77293816600002
Freemans Bay,-36.85287929799995,174.75035326400007
Glendowie,-36.86036095299994,174.87265930000012
Glen Innes,-36.87394120099998,174.86095625600012
Grafton,-36.85329999999993,174.77975000000004
Greenlane,-36.89491322499998,174.79262520600003
Greenwoods Corner,-36.92865406512159,174.64980256580628
Grey Lynn,-36.861568621999936,174.73955514300008
Herne Bay,-36.83819999999997,174.72019000000012
Hillsborough,-36.92389779599995,174.75536291900005
Kingsland,-36.87019698199998,174.7452094570001
Kohimarama,-36.85725985999994,174.84097833500005
Lynfield,-36.93035918099997,174.71985815800008
Meadowbank,-36.86950058399998,174.82957281000006
Mission Bay,-38.898229999999955,175.9302100000001
Morningside,-36.868199999999945,174.7301900000001
Mount Albert,-36.884724379999966,174.71769494000011
Mount Eden,-36.88360167999997,174.7542374830001
Mount Roskill,-36.916066143999956,174.73653593900008
Mount Wellington,-36.91273337299998,174.83990388200004
Newmarket,-36.86741022899997,174.77638470500005
Newton,-36.849999999999966,174.7500000000001
New Windsor,-36.90530967299998,174.71278691300006
Onehunga,-36.92059910099994,174.79065501900004
Oneroa,-36.77818999999994,175.01019000000008
Onetangi,-36.78332999999998,175.08333000000005
One Tree Hill,-36.90461324399996,174.78918725100004
Orakei,-36.849999999999966,174.81667000000004
Oranga,-36.908199999999965,174.79019000000005
Ostend,-36.79819999999995,175.04019000000005
Otahuhu,-36.94390534499996,174.84522584800004
Owairaka,-36.88819999999998,174.71019000000013
Palm Beach,-36.91390468940996,174.86945498946278
Panmure,-36.89741973499997,174.85956423900006
Parnell,-36.85406999999998,174.77934000000005
Penrose,-36.91813375199996,174.81762255800004
Point England,-36.88395805499994,174.8646947860001
Point Chevalier,-36.866296869999985,174.70642466700008
Ponsonby,-36.85073268799994,174.73922326900004
Remuera,-36.87740424799995,174.80549186300004
Royal Oak,-36.91065336899993,174.77232995700012
Saint Heliers,-36.849999999999966,174.8666700000001
Saint Johns,-36.868199999999945,174.84019000000012
Saint Marys Bay,-36.83819999999997,174.7401900000001
Sandringham,-36.887782372999936,174.7366463080001
Stonefields,-36.887335425999936,174.83999335600004
Tamaki,-36.88819999999998,174.8601900000001
Te Papapa,-36.918199999999956,174.80019000000004
Three Kings,-36.90823275499997,174.75722268900006
Waikowhai,-36.92819999999995,174.7301900000001
Wai o Taiki Bay,-36.868199999999945,174.8701900000001
Waterview,-36.879466364999985,174.6993643950001
Western Springs,-36.86310641299997,174.72036482300007
Westfield,-36.94999999999993,174.85000000000002
Westmere,-37.568209999999965,175.14020000000005
Albany,-36.73427200799995,174.69928106500004
Bayswater,-36.80819999999994,174.77019000000007
Bayview,-36.77452705999997,174.7090190230001
Beach Haven,-36.78819999999996,174.68019000000004
Belmont,-36.80523647199993,174.788186794
Birkdale,-36.797416829999975,174.70436862300005
Birkenhead,-36.80892881099993,174.72194536900008
Browns Bay,-36.71926010899995,174.73666409700002
Campbells Bay,-36.74957706799995,174.75627076500007
Castor Bay,-36.760500193999974,174.7618165660001
Chatswood,-36.81839045299995,174.70982627400008
Cheltenham,-36.81819999999993,174.80019000000004
Crown Hill,-36.7616781355802,174.75272653264665
Devonport,-36.82422492699993,174.7987278810001
Fairview Heights,-36.709319999999934,174.7099800000001
Forrest Hill,-36.76442326899996,174.74773184600008
Glenfield,-36.78259699899996,174.72158734100003
Greenhithe,-36.77080089899994,174.68653588900008
Hauraki,-36.84988999999996,174.77719000000002
Highbury,-36.80819999999994,174.72019000000012
Hillcrest,-36.79303718299997,174.73520312300002
Long Bay,-36.738189999999975,175.4702000000001
Mairangi Bay,-36.74104802099998,174.74754613400012
Marlborough,-36.77819999999997,174.72019000000012
Milford,-36.77333818099993,174.76071123100007
Murrays Bay,-36.731651545999966,174.7463499580001
Narrow Neck,-36.81542147599998,174.79934172700007
Northcote,-36.80318137499995,174.7470195100001
Northcote Point,-36.81702800199997,174.74632377300009
North Harbour,-36.773909999999944,174.73891000000003
Northcross,-36.710220937999964,174.72765288300002
Okura,-36.67906285899994,174.7242003990001
Oteha,-36.71968318099994,174.71923591100006
Paremoremo,-36.766669999999976,174.66667000000007
Pinehill,-36.731440824999936,174.72356648000004
Rosedale,-36.746499642999936,174.71522120300006
Rothesay Bay,-36.72416311499995,174.74649512200006
Schnapper Rock,-36.756173642999954,174.68691521800008
Stanley Bay,-36.85495963480035,174.77154040624976
Stanley Point,-36.82660308099997,174.7840145990001
